����_A
t	y	x
6.5	91.29548762736539	294.3813682678311
6.6	67.0742358078603	299.9708879184862
6.7	29.15855350065965	307.51260322224977
6.8	-8.194712049508098	314.12654010683497
6.9	-45.527125390398396	316.0850069250051
7.0	-79.50357088042881	313.61436223241896
7.1	-116.69549129822565	309.4004069117669
7.2	-145.40426107009262	302.3850062487323
7.3	-169.55814568326662	295.6632724623508
7.4	-189.78105429050572	289.0440808327974
7.5	-205.00986471773547	283.60440926376106
7.6	-216.28804539784608	279.372714750655
7.7	-222.74808135229944	276.5843680850979
7.8	-224.5855752272779	274.60045950052864
7.9	-221.76336412742796	274.76446828273066
8.0	-214.89581698733252	275.86203675614234
8.1	-204.39960040634662	280.24356435441206
8.2	-190.48074718731402	286.44875548437136
8.3	-172.3677880979227	294.4905079154358
8.4	-149.5726094428511	301.40379871215083
8.5	-123.58707500825801	308.98667660621555
8.6	-80.11644832605532	314.8762736535662
8.7	-57.75836972343518	314.8762736535662
8.8	-22.358078602620026	314.8762736535662
8.9	24.22125181950514	311.1499272197962
9.0	52.16885007278023	307.4235807860262
9.1	85.70596797671033	301.8340611353711
9.2	117.64285749913643	294.81750193744875
9.3	144.93002914682802	285.83951382708625
9.4	169.12395489361046	276.77432746682854
9.5	189.06824405914034	268.73440788871204
9.6	206.32413481539066	264.6405042984516
9.7	214.9318460884046	261.8747232239123
9.8	216.21375667284553	260.0077814051827
9.9	210.51594565538187	261.7739665800137
10.0	198.70242090469014	266.017669478752
10.1	180.32871015463417	272.7224112102252
10.2	154.97212559899242	281.14693225231787
10.3	124.95193807326967	290.24871896355654
10.4	91.4896293396913	298.5550401008457
10.5	54.03202328966523	299.9708879184862
10.6	16.768558951965076	305.5604075691412
10.7	-22.358078602620026	311.1499272197962
10.8	-57.75836972343518	305.5604075691412
10.9	-91.29548762736533	307.4235807860262
11.0	-124.83260553129548	305.5604075691412
11.1	-160.23289665211064	299.9708879184862
11.2	-171.41193595342065	294.3813682678311
11.3	-190.04366812227067	286.92867540029107
11.4	-206.8122270742358	283.20232896652107
11.5	-212.4017467248908	281.33915574963606
11.6	-219.85443959243082	279.47598253275106
11.7	-217.99126637554582	279.47598253275106
11.8	-216.12809315866082	279.47598253275106
11.9	-199.3595342066958	279.47598253275106
12.0	-182.59097525473067	285.06550218340607
12.1	-178.86462882096066	286.92867540029107
12.2	-162.09606986899564	296.2445414847161
12.3	-137.8748180494905	303.6972343522562
12.4	-111.21701942712502	304.8442152344765
12.5	-84.84902899912959	308.1095012509816
12.6	-54.038618584941105	310.1827040085132
12.7	-21.39708746134602	309.2695808283584
12.8	10.776371289268695	306.8030070326991
12.9	54.03202328966523	305.5604075691412
13.0	81.97962154294032	299.9708879184862
13.1	113.65356622998547	288.7918486171761
13.2	143.46433770014556	286.92867540029107
13.3	163.95924308588064	279.47598253275106
13.4	182.59097525473072	270.16011644832605
13.5	191.9068413391558	264.57059679767104
13.6	204.9490538573508	260.84425036390104
13.7	212.40174672489084	258.98107714701604
13.8	199.3595342066958	264.57059679767104
13.9	173.27510917030568	272.02328966521105
